Index,File,Are equals,Size in pal_1.0,Size in ntsc_1.0_rc,Size proportion,Size difference,Bytes different,Words different
205,ovl_Boss_Mo,False,46496,46496,1.0,0,1845,945
206,ovl_En_Sb,False,5184,5184,1.0,0,257,135
207,ovl_En_Bigokuta,False,11024,11024,1.0,0,472,238
208,ovl_En_Karebaba,False,6384,6384,1.0,0,346,173
209,ovl_Bg_Bdan_Objects,False,4816,4816,1.0,0,256,128
210,ovl_Demo_Sa,False,11040,11040,1.0,0,372,187
211,ovl_Demo_Go,False,3424,3424,1.0,0,211,82
212,ovl_En_In,False,11680,11616,1.006,64,2538,871
213,ovl_En_Tr,False,6400,6400,1.0,0,294,147
214,ovl_Bg_Spot16_Bombstone,False,5440,5440,1.0,0,206,103
215,ovl_Bg_Hidan_Kowarerukabe,False,3792,3792,1.0,0,148,74
216,ovl_Bg_Bombwall,False,2240,2240,1.0,0,92,49
217,ovl_En_Ru2,False,11648,11648,1.0,0,394,198
218,ovl_Obj_Dekujr,False,1600,1600,1.0,0,59,30
219,ovl_Bg_Mizu_Uzu,False,464,464,1.0,0,28,14
220,ovl_Bg_Spot06_Objects,False,5136,5136,1.0,0,264,132
221,ovl_Bg_Ice_Objects,False,3904,3904,1.0,0,204,102
222,ovl_Bg_Haka_Water,False,2016,2016,1.0,0,58,29
223,ovl_En_Ma2,False,4192,4192,1.0,0,192,96
224,ovl_En_Bom_Chu,False,5792,5792,1.0,0,219,108
225,ovl_En_Horse_Game_Check,False,4304,4304,1.0,0,184,91
226,ovl_Boss_Tw,False,77952,77952,1.0,0,3620,1821
227,ovl_En_Rr,False,9520,9504,1.002,16,5243,1653
228,ovl_En_Ba,False,7888,7888,1.0,0,366,183
229,ovl_En_Bx,False,2800,2800,1.0,0,114,57
230,ovl_En_Anubice,False,4784,4784,1.0,0,206,103
231,ovl_En_Anubice_Fire,False,3520,3520,1.0,0,152,76
232,ovl_Bg_Mori_Hashigo,False,2240,2240,1.0,0,94,47
233,ovl_Bg_Mori_Hashira4,False,1408,1408,1.0,0,78,39
234,ovl_Bg_Mori_Idomizu,False,1600,1600,1.0,0,68,34
235,ovl_Bg_Spot16_Doughnut,False,1456,1456,1.0,0,51,24
236,ovl_Bg_Bdan_Switch,False,5168,5168,1.0,0,351,164
237,ovl_En_Ma1,False,4832,4832,1.0,0,293,148
238,ovl_Boss_Ganon,False,139872,139888,1.0,-16,104627,29721
239,ovl_Boss_Sst,False,50464,50464,1.0,0,2413,1211
240,ovl_En_Ny,False,6448,6448,1.0,0,264,132
241,ovl_En_Fr,False,10896,10896,1.0,0,607,340
242,ovl_Item_Shield,False,2576,2576,1.0,0,122,61
243,ovl_Bg_Ice_Shelter,False,4656,4656,1.0,0,216,108
244,ovl_En_Ice_Hono,False,4592,4592,1.0,0,222,111
245,ovl_Item_Ocarina,False,2000,2000,1.0,0,99,50
246,ovl_Magic_Dark,False,6224,6224,1.0,0,164,82
247,ovl_Demo_6K,False,11536,11536,1.0,0,506,253
248,ovl_En_Anubice_Tag,False,720,720,1.0,0,30,13
249,ovl_Bg_Haka_Gate,False,4224,4224,1.0,0,223,111
250,ovl_Bg_Spot15_Saku,False,832,832,1.0,0,42,21
251,ovl_Bg_Jya_Goroiwa,False,1920,1920,1.0,0,92,46
252,ovl_Bg_Jya_Zurerukabe,False,1712,1712,1.0,0,84,42
253,ovl_Bg_Jya_Cobra,False,7456,7456,1.0,0,204,102
254,ovl_Bg_Jya_Kanaami,False,944,944,1.0,0,54,27
255,ovl_Fishing,False,80304,80304,1.0,0,61873,18853
256,ovl_Obj_Oshihiki,False,6832,6832,1.0,0,278,129
257,ovl_Bg_Gate_Shutter,False,1152,1152,1.0,0,52,26
258,ovl_Eff_Dust,False,5088,5088,1.0,0,200,100
259,ovl_Bg_Spot01_Fusya,False,672,672,1.0,0,30,15
260,ovl_Bg_Spot01_Idohashira,False,3072,3072,1.0,0,126,63
261,ovl_Bg_Spot01_Idomizu,False,784,784,1.0,0,38,19
262,ovl_Bg_Po_Syokudai,False,2384,2384,1.0,0,94,47
263,ovl_Bg_Ganon_Otyuka,False,9792,9792,1.0,0,188,94
264,ovl_Bg_Spot15_Rrbox,False,3552,3552,1.0,0,136,68
265,ovl_Bg_Umajump,False,400,400,1.0,0,29,15
266,ovl_En_Insect,False,9504,9408,1.01,96,2429,853
267,ovl_En_Butte,False,5584,5584,1.0,0,272,136
268,ovl_En_Fish,False,8464,8464,1.0,0,454,227
269,ovl_Bg_Spot08_Iceblock,False,4160,4160,1.0,0,282,141
270,ovl_Item_Etcetera,False,2256,2256,1.0,0,162,81
271,ovl_Arrow_Fire,False,7872,7872,1.0,0,112,54
272,ovl_Arrow_Ice,False,7904,7904,1.0,0,110,54
273,ovl_Arrow_Light,False,7920,7920,1.0,0,108,54
274,ovl_Obj_Kibako,False,3328,3328,1.0,0,166,83
275,ovl_Obj_Tsubo,False,4080,4080,1.0,0,218,109
276,ovl_En_Wonder_Item,False,3152,3152,1.0,0,126,63
277,ovl_En_Ik,False,17952,17968,0.999,-16,9176,2894
278,ovl_Demo_Ik,False,5392,5392,1.0,0,158,114
279,ovl_En_Skj,False,14640,14432,1.014,208,10310,3028
280,ovl_En_Skjneedle,False,784,784,1.0,0,50,23
281,ovl_En_G_Switch,False,6192,6192,1.0,0,284,141
282,ovl_Demo_Ext,False,2368,2368,1.0,0,89,45
283,ovl_Demo_Shd,False,9232,9232,1.0,0,54,27
284,ovl_En_Dns,False,5008,5008,1.0,0,364,195
285,ovl_Elf_Msg,False,1520,1520,1.0,0,60,30
286,ovl_En_Honotrap,False,5456,5456,1.0,0,267,143
287,ovl_En_Tubo_Trap,False,3232,3232,1.0,0,155,82
288,ovl_Obj_Ice_Poly,False,2480,2480,1.0,0,111,56
289,ovl_Bg_Spot03_Taki,False,2288,2288,1.0,0,54,27
290,ovl_Bg_Spot07_Taki,False,1488,1472,1.011,16,746,271
291,ovl_En_Fz,False,8208,8208,1.0,0,294,147
292,ovl_En_Po_Relay,False,5904,5904,1.0,0,279,140
293,ovl_Bg_Relay_Objects,False,1968,1968,1.0,0,123,62
294,ovl_En_Diving_Game,False,6576,6560,1.002,16,4260,1269
295,ovl_En_Kusa,False,5344,5344,1.0,0,268,138
296,ovl_Obj_Bean,False,10128,10128,1.0,0,486,278
297,ovl_Obj_Bombiwa,False,1392,1392,1.0,0,63,36
298,ovl_Obj_Switch,False,7616,7616,1.0,0,311,185
299,ovl_Obj_Elevator,False,960,960,1.0,0,42,26
300,ovl_Obj_Lift,False,2592,2592,1.0,0,110,65
301,ovl_Obj_Hsblock,False,1488,1488,1.0,0,59,36
302,ovl_En_Okarina_Tag,False,5376,5344,1.006,32,2862,938
303,ovl_En_Yabusame_Mark,False,1744,1744,1.0,0,53,30
304,ovl_En_Goroiwa,False,9152,9152,1.0,0,360,180
305,ovl_En_Ex_Ruppy,False,4288,4288,1.0,0,192,96
306,ovl_En_Toryo,False,3216,3216,1.0,0,186,93
307,ovl_En_Daiku,False,5952,5952,1.0,0,254,129
308,ovl_En_Nwc,False,2624,2624,1.0,0,74,37
309,ovl_En_Blkobj,False,1376,1376,1.0,0,64,32
310,ovl_Item_Inbox,False,352,352,1.0,0,22,11
311,ovl_En_Ge1,False,8240,8240,1.0,0,447,226
312,ovl_Obj_Blockstop,False,416,416,1.0,0,22,11
313,ovl_En_Sda,False,5696,5696,1.0,0,104,52
314,ovl_En_Clear_Tag,False,35696,35696,1.0,0,474,237
315,ovl_En_Niw_Lady,False,6400,6368,1.005,32,3696,1106
316,ovl_En_Gm,False,3376,3376,1.0,0,180,89
317,ovl_En_Ms,False,1776,1776,1.0,0,122,61
318,ovl_En_Hs,False,2976,2976,1.0,0,188,94
319,ovl_Bg_Ingate,False,912,912,1.0,0,42,21
320,ovl_En_Kanban,False,12624,12624,1.0,0,374,187
321,ovl_En_Heishi3,False,2544,2512,1.013,32,1455,434
322,ovl_En_Syateki_Niw,False,8336,8336,1.0,0,378,211
323,ovl_En_Attack_Niw,False,4704,4704,1.0,0,704,272
324,ovl_Bg_Spot01_Idosoko,False,528,528,1.0,0,33,17
325,ovl_En_Sa,False,8816,8816,1.0,0,399,203
326,ovl_En_Wonder_Talk,False,1680,1680,1.0,0,80,40
327,ovl_Bg_Gjyo_Bridge,False,1280,1280,1.0,0,62,32
328,ovl_En_Ds,False,3104,3104,1.0,0,173,87
329,ovl_En_Mk,False,3728,3728,1.0,0,189,95
330,ovl_En_Bom_Bowl_Man,False,5440,5440,1.0,0,268,134
331,ovl_En_Bom_Bowl_Pit,False,2416,2400,1.007,16,1869,566
332,ovl_En_Owl,False,15264,15264,1.0,0,778,384
333,ovl_En_Ishi,False,37200,37200,1.0,0,296,148
334,ovl_Obj_Hana,False,784,784,1.0,0,46,23
335,ovl_Obj_Lightswitch,False,5168,5168,1.0,0,212,107
336,ovl_Obj_Mure2,False,2592,2592,1.0,0,98,49
337,ovl_En_Go,False,17984,17984,1.0,0,1612,752
338,ovl_En_Fu,False,3392,3392,1.0,0,162,81
339,ovl_En_Changer,False,2528,2528,1.0,0,94,47
340,ovl_Bg_Jya_Megami,False,4576,4576,1.0,0,182,91
341,ovl_Bg_Jya_Lift,False,1360,1360,1.0,0,74,37
342,ovl_Bg_Jya_Bigmirror,False,2112,2112,1.0,0,84,42
343,ovl_Bg_Jya_Bombchuiwa,False,2864,2864,1.0,0,116,58
344,ovl_Bg_Jya_Amishutter,False,912,912,1.0,0,54,27
345,ovl_Bg_Jya_Bombiwa,False,1472,1472,1.0,0,78,41
346,ovl_Bg_Spot18_Basket,False,4080,4080,1.0,0,229,126
347,ovl_En_Ganon_Organ,False,28672,28672,1.0,0,154,77
348,ovl_En_Siofuki,False,3504,3504,1.0,0,150,73
349,ovl_En_Stream,False,1424,1424,1.0,0,54,25
350,ovl_En_Mm,False,5664,5664,1.0,0,277,134
351,ovl_En_Ko,False,16704,16704,1.0,0,991,512
352,ovl_En_Kz,False,5536,5392,1.027,144,4422,1252
353,ovl_En_Weather_Tag,False,3824,3824,1.0,0,210,133
354,ovl_Bg_Sst_Floor,False,1376,1376,1.0,0,56,37
355,ovl_En_Ani,False,3440,3376,1.019,64,2650,766
356,ovl_En_Ex_Item,False,4464,4480,0.996,-16,1540,568
357,ovl_Bg_Jya_Ironobj,False,3504,3504,1.0,0,164,82
358,ovl_En_Js,False,2512,2512,1.0,0,144,72
359,ovl_En_Jsjutan,False,19904,19904,1.0,0,157,76
360,ovl_En_Cs,False,4656,4656,1.0,0,224,112
361,ovl_En_Md,False,9840,9840,1.0,0,537,272
362,ovl_En_Hy,False,14656,14672,0.999,-16,8440,2849
363,ovl_En_Ganon_Mant,False,16928,16928,1.0,0,156,78
364,ovl_En_Okarina_Effect,False,960,944,1.017,16,737,219
365,ovl_En_Mag,False,11104,12048,0.922,-944,3177,916
366,ovl_Door_Gerudo,False,1520,1520,1.0,0,64,32
367,ovl_Elf_Msg2,False,1136,1136,1.0,0,64,32
368,ovl_Demo_Gt,False,22016,22016,1.0,0,1024,548
369,ovl_En_Po_Field,False,14816,14784,1.002,32,6277,1909
370,ovl_Efc_Erupc,False,2784,2784,1.0,0,78,39
371,ovl_Bg_Zg,False,1136,1136,1.0,0,64,32
372,ovl_En_Heishi4,False,3840,3840,1.0,0,178,89
373,ovl_En_Zl3,False,32336,32368,0.999,-32,18033,5539
374,ovl_Boss_Ganon2,False,70400,70384,1.0,16,39005,11963
375,ovl_En_Kakasi,False,3392,3392,1.0,0,178,93
376,ovl_En_Takara_Man,False,2240,2240,1.0,0,101,51
377,ovl_Obj_Makeoshihiki,False,1168,1168,1.0,0,42,21
378,ovl_Oceff_Spot,False,3888,3888,1.0,0,88,44
379,ovl_End_Title,False,16688,16688,1.0,0,65,34
380,ovl_En_Torch,False,240,240,1.0,0,10,5
381,ovl_Demo_Ec,False,14432,14432,1.0,0,1021,487
382,ovl_Shot_Sun,False,1728,1728,1.0,0,71,37
383,ovl_En_Dy_Extra,False,1408,1408,1.0,0,46,23
384,ovl_En_Wonder_Talk2,False,1696,1696,1.0,0,56,28
385,ovl_En_Ge2,False,6560,6560,1.0,0,298,150
386,ovl_Obj_Roomtimer,False,592,592,1.0,0,42,21
387,ovl_En_Ssh,False,9712,9712,1.0,0,815,333
388,ovl_En_Sth,False,16560,16560,1.0,0,286,151
389,ovl_Oceff_Wipe,False,3408,3408,1.0,0,52,26
390,ovl_Effect_Ss_Dust,False,2096,2096,1.0,0,82,41
391,ovl_Effect_Ss_KiraKira,False,1648,1648,1.0,0,62,31
392,ovl_Effect_Ss_Bomb,False,1056,1056,1.0,0,44,22
393,ovl_Effect_Ss_Bomb2,False,2352,2352,1.0,0,102,51
394,ovl_Effect_Ss_Blast,False,912,912,1.0,0,24,12
395,ovl_Effect_Ss_G_Spk,False,1456,1456,1.0,0,52,26
396,ovl_Effect_Ss_D_Fire,False,1264,1264,1.0,0,32,16
397,ovl_Effect_Ss_Bubble,False,1152,1152,1.0,0,60,32
398,ovl_Effect_Ss_G_Ripple,False,1376,1376,1.0,0,37,18
399,ovl_Effect_Ss_G_Splash,False,1200,1200,1.0,0,46,23
400,ovl_Effect_Ss_G_Magma,False,608,608,1.0,0,35,17
401,ovl_Effect_Ss_G_Fire,False,656,656,1.0,0,33,16
402,ovl_Effect_Ss_Lightning,False,1744,1744,1.0,0,85,42
403,ovl_Effect_Ss_Dt_Bubble,False,1424,1424,1.0,0,46,25
404,ovl_Effect_Ss_Hahen,False,1600,1600,1.0,0,60,30
405,ovl_Effect_Ss_Stick,False,928,928,1.0,0,40,20
406,ovl_Effect_Ss_Sibuki,False,1744,1744,1.0,0,70,36
407,ovl_Effect_Ss_Sibuki2,False,816,816,1.0,0,38,19
408,ovl_Effect_Ss_G_Magma2,False,1296,1296,1.0,0,50,29
409,ovl_Effect_Ss_Stone1,False,912,912,1.0,0,42,21
410,ovl_Effect_Ss_HitMark,False,1360,1360,1.0,0,113,54
411,ovl_Effect_Ss_Fhg_Flash,False,3968,3968,1.0,0,103,52
412,ovl_Effect_Ss_K_Fire,False,1072,1072,1.0,0,28,14
413,ovl_Effect_Ss_Solder_Srch_Ball,False,432,432,1.0,0,6,3
414,ovl_Effect_Ss_Kakera,False,4240,4240,1.0,0,137,69
415,ovl_Effect_Ss_Ice_Piece,False,1088,1088,1.0,0,36,18
416,ovl_Effect_Ss_En_Ice,False,2240,2064,1.085,176,469,144
417,ovl_Effect_Ss_Fire_Tail,False,1792,1792,1.0,0,64,32
418,ovl_Effect_Ss_En_Fire,False,1856,1856,1.0,0,62,34
